./client_epoll/client_epoll 20003 120.26.200.117 23456 50 2>>./error.log

connect to: 120.26.200.117 23456
Run UDT client loop ...
143 88  51  45  46  50  53  56  48  52  max: 143  average 10: 63  average total: 63 0KB/s(in)
20:20.7 51  55  54  55  46  51  69  48  54  47  max: 69  average 10: 53  average total: 61
20:20.8 55  49  53  44  50  55  46  49  52  57  max: 57  average 10: 51  average total: 61
20:20.8 51  46  50  52  47  51  58  50  55  47  max: 58  average 10: 50  average total: 61
20:20.9 50  52  46  49  55  45  44  45  47  52  max: 55  average 10: 48  average total: 61
20:20.9 54  58  59  49  56  48  54  48  53  58  max: 59  average 10: 53  average total: 60
20:20.10 48 53  46  52  55  45  49  54  44  52  max: 55  average 10: 49  average total: 60
20:20.10 53 65  46  49  51  45  46  48  55  49  max: 65  average 10: 50  average total: 60
20:20.11 56 44  49  50  54  47  53  45  45  47  max: 56  average 10: 49  average total: 60 0.9KB/s(in)
20:20.11 49 58  48  56  49  55  46  51  46  50  max: 58  average 10: 50  average total: 60
20:20.12 57 61  56  48  50  56  50  52  46  55  max: 61  average 10: 53  average total: 60
20:20.12 46 54  46  51  54  44  49  53  47  47  max: 54  average 10: 49  average total: 60
20:20.13 49 56  46  52  45  53  48  53  55  45  max: 56  average 10: 50  average total: 60
20:20.13 49 57  44  47  47  50  57  47  50  54  max: 57  average 10: 50  average total: 59
20:20.14 46 60  54  46  55  45  48  56  49  56  max: 60  average 10: 51  average total: 59
20:20.14 44 50  51  56  61  52  46  51  53  47  max: 61  average 10: 51  average total: 59
20:20.15 50 57  48  51  45  49  52  45  50  58  max: 58  average 10: 50  average total: 59
20:20.15 49 54  46  52  45  46  47  62  54  44  max: 62  average 10: 49  average total: 59
20:20.16 52 57  47  52  45  54  45  53  48  51  max: 57  average 10: 50  average total: 59
20:20.16 57 47  52  53  145 95  51  45  51  55  max: 145  average 10: 65  average total: 59
20:20.17 49 53  48  54  47  49  50  57  50  45  max: 57  average 10: 50  average total: 59
20:20.18 46 49  51  71  50  55  48  50  55  47  max: 71  average 10: 52  average total: 59
20:20.18 50 52  56  47  52  56  57  54  48  52  max: 57  average 10: 52  average total: 59
20:20.19 56 48  52  56  45  48  54  46  52  45  max: 56  average 10: 50  average total: 59
20:20.19 51 46  48  48  52  53  53  45  51  53  max: 53  average 10: 50  average total: 59
20:20.20 44 50  55  46  52  45  50  53  58  47  max: 58  average 10: 50  average total: 58
20:20.20 49 55  46  53  45  52  57  49  57  52  max: 57  average 10: 51  average total: 58
20:20.21 59 47  50  55  51  47  52  46  59  51  max: 59  average 10: 51  average total: 58
20:20.21 74 54  56  46  47  66  44  64  55  45  max: 74  average 10: 55  average total: 58 0.9KB/s(in)
20:20.22 49 49  97  93  68  97  51  56  72  51  max: 97  average 10: 68  average total: 58
20:20.22 200    147 98  90  53  85  55  79  45  75  max: 200  average 10: 92  average total: 59
20:20.23 53 66  154 147 95  151 103 56  49  53  max: 154  average 10: 92  average total: 59
20:20.23 60 53  77  72  49  67  56  45  49  96  max: 96  average 10: 62  average total: 59
20:20.24 52 46  86  47  52  80  54  73  52  53  max: 86  average 10: 59  average total: 59
20:20.24 62 51  57  47  52  54  46  51  46  75  max: 75  average 10: 54  average total: 59
20:20.25 93 95  55  46  54  45  47  50  64  58  max: 95  average 10: 60  average total: 59
20:20.25 51 56  50  58  50  56  49  56  46  45  max: 58  average 10: 51  average total: 59
20:20.26 53 46  48  52  57  51  45  52  55  51  max: 57  average 10: 51  average total: 59
20:20.26 45 50  51  54  49  57  48  54  45  46  max: 57  average 10: 49  average total: 59
20:20.27 52 46  50  52  45  45  60  54  49  57  max: 60  average 10: 51  average total: 59
20:20.28 48 52  44  50  56  49  53  45  49  50  max: 56  average 10: 49  average total: 59
20:20.28 56 44  53  55  49  50  45  46  55  49  max: 56  average 10: 50  average total: 59
20:20.29 53 57  53  45  49  56  52  58  47  52  max: 58  average 10: 52  average total: 58
20:20.29 47 48  56  45  47  49  51  57  51  53  max: 57  average 10: 50  average total: 58
20:20.30 47 51  52  45  45  59  48  55  46  61  max: 61  average 10: 50  average total: 58
20:20.30 53 45  59  54  45  54  49  58  47  49  max: 59  average 10: 51  average total: 58
20:20.31 55 45  51  45  57  49  52  46  45  47  max: 57  average 10: 49  average total: 58
20:20.31 48 53  45  46  50  56  53  150 100 53  max: 150  average 10: 65  average total: 58
20:20.32 57 53  47  51  47  68  81  44  55  47  max: 81  average 10: 55  average total: 58 0.9KB/s(in)
20:20.32 52 52  47  49  55  48  55  45  47  56  max: 56  average 10: 50  average total: 58
20:20.33 56 49  60  51  56  47  51  146 94  50  max: 146  average 10: 66  average total: 58
20:20.33 55 53  53  47  154 104 71  54  46  50  max: 154  average 10: 68  average total: 58
20:20.34 53 56  45  49  52  56  45  49  55  51  max: 56  average 10: 51  average total: 58
20:20.34 56 51  45  55  50  54  45  52  56  49  max: 56  average 10: 51  average total: 58
20:20.35 55 47  50  57  48  50  154 103 70  51  max: 154  average 10: 68  average total: 58
20:20.35 56 149 96  63  48  51  52  54  47  47  max: 149  average 10: 66  average total: 58
20:20.36 47 51  55  47  52  45  51  54  57  52  max: 57  average 10: 51  average total: 58
20:20.36 64 56  51  55  58  53  164 112 61  184 max: 184  average 10: 85  average total: 58
20:20.37 133    81  160 108 62  45  51  45  60  53  max: 160  average 10: 79  average total: 59
20:20.38 47 55  50  54  150 100 70  51  46  65  max: 150  average 10: 68  average total: 59
20:20.38 65 72  51  45  59  61  51  56  47  51  max: 72  average 10: 55  average total: 59
20:20.39 45 53  55  47  62  56  53  58  49  55  max: 62  average 10: 53  average total: 59
20:20.39 49 54  47  48  50  52  54  46  46  48  max: 54  average 10: 49  average total: 59
